user_id,onboarding_skips,quiz_answers,total_events,avg_event_interval_sec,chat_opens,chat_views,messages_sent,messages_received,answer_errors,likes,dislikes,successful_purchase,model_changes,time_to_first_event_sec,time_to_first_message_sec,error_rate,is_churned,cluster,pca1,pca2
16,0.0,3.0,37.0,124.61111111111111,2.0,2.0,7.0,6.0,1.0,0.0,3.0,1.0,0.0,0.0,413.0,0.027027027027027,1.0,2,-1.1286078035884959,0.10938593795280578
17,0.0,3.0,13.0,18.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.639592954044795,-0.6260619487243022
18,0.0,3.0,116.0,222.2086956521739,8.0,8.0,33.0,30.0,2.0,10.0,2.0,1.0,1.0,0.0,359.0,0.0172413793103448,0.0,9,3.638642672849348,-2.310867536253594
19,1.0,2.0,200.0,205.96984924623115,12.0,12.0,61.0,50.0,9.0,14.0,16.0,1.0,0.0,0.0,369.0,0.045,0.0,7,8.246107349598491,-3.52394021935879
20,0.0,3.0,40.0,98.56410256410255,2.0,2.0,9.0,9.0,0.0,1.0,0.0,1.0,1.0,0.0,337.0,0.0,0.0,0,-1.125969111661197,-1.0525530038494357
22,0.0,3.0,46.0,100.62222222222222,2.0,2.0,10.0,6.0,4.0,3.0,2.0,1.0,1.0,0.0,336.0,0.0869565217391304,1.0,0,-0.3599429401752625,-0.14141903071465378
24,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6354885601167855,-0.6222236470054311
25,0.0,3.0,268.0,173.7078651685393,13.0,15.0,84.0,64.0,14.0,16.0,20.0,1.0,0.0,0.0,355.0,0.0522388059701492,0.0,7,11.178978956279149,-3.49650878118737
26,1.0,2.0,39.0,107.97368421052632,2.0,2.0,8.0,4.0,4.0,0.0,2.0,1.0,1.0,0.0,398.0,0.1025641025641025,1.0,8,-0.8157339686804655,-0.3357728640924889
27,1.0,2.0,70.0,208.63768115942028,5.0,5.0,19.0,11.0,7.0,2.0,1.0,1.0,1.0,0.0,343.0,0.1,1.0,8,1.2228482939159868,-0.30918502063638004
28,0.0,3.0,87.0,178.7325581395349,5.0,5.0,28.0,9.0,18.0,1.0,2.0,1.0,0.0,0.0,329.0,0.2068965517241379,1.0,4,2.1925058040729537,2.8847762714935903
29,0.0,3.0,63.0,186.8870967741936,4.0,4.0,19.0,6.0,10.0,0.0,2.0,1.0,0.0,0.0,343.0,0.1587301587301587,1.0,2,0.8470087275192035,2.1217392620182958
30,0.0,3.0,13.0,19.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6366612440962167,-0.6233203046393943
31,0.0,3.0,53.0,214.55769230769232,4.0,4.0,14.0,3.0,9.0,1.0,0.0,1.0,0.0,0.0,377.0,0.1698113207547169,1.0,2,0.48801029683519,2.3386518451147644
32,0.0,3.0,89.0,243.29545454545453,7.0,7.0,26.0,14.0,10.0,2.0,1.0,1.0,1.0,0.0,343.0,0.1123595505617977,1.0,4,2.626475536074043,0.7436813318101461
33,0.0,3.0,13.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6407656380242264,-0.6271586063582654
34,0.0,3.0,13.0,21.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6296251402196296,-0.6167403588356153
35,0.0,3.0,53.0,153.26923076923077,3.0,3.0,14.0,9.0,4.0,2.0,0.0,1.0,1.0,0.0,363.0,0.0754716981132075,1.0,0,0.03481238232782861,-0.039080278247305644
36,0.0,3.0,44.0,188.3720930232558,3.0,3.0,10.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,347.0,0.0909090909090909,1.0,2,-0.38357628016477646,1.017569249764234
37,0.0,3.0,60.0,144.15254237288136,3.0,3.0,17.0,11.0,6.0,1.0,2.0,1.0,0.0,0.0,380.0,0.1,1.0,2,0.2137854672968115,0.88653574167525
38,1.0,2.0,107.0,189.08490566037736,6.0,6.0,30.0,21.0,6.0,6.0,6.0,1.0,0.0,0.0,373.0,0.0560747663551401,0.0,8,2.59807730406288,-1.2660798715645756
39,0.0,3.0,93.0,249.2717391304348,7.0,7.0,25.0,15.0,10.0,4.0,4.0,1.0,0.0,0.0,380.0,0.1075268817204301,1.0,4,2.8100125711225528,1.0180325298468709
40,0.0,3.0,71.0,273.4428571428571,6.0,6.0,18.0,7.0,10.0,1.0,3.0,1.0,0.0,0.0,384.0,0.1408450704225352,1.0,4,1.8393931460060577,2.079867048936611
42,0.0,3.0,13.0,22.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6255207462916204,-0.6129020571167442
43,0.0,3.0,48.0,168.29787234042553,3.0,3.0,12.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,393.0,0.1666666666666666,1.0,2,-0.05149165418025763,2.06666686624253
44,1.0,2.0,54.0,146.03773584905662,3.0,3.0,14.0,8.0,5.0,3.0,0.0,1.0,1.0,0.0,327.0,0.0925925925925925,1.0,8,-0.010688613011356013,-0.6606226617722896
46,0.0,3.0,72.0,161.11267605633802,4.0,4.0,19.0,17.0,1.0,8.0,0.0,1.0,1.0,0.0,387.0,0.0138888888888888,0.0,0,0.9074077760957034,-1.7562940415156232
47,0.0,3.0,63.0,194.33870967741936,4.0,4.0,19.0,3.0,13.0,1.0,1.0,1.0,0.0,0.0,370.0,0.2063492063492063,1.0,4,1.0327967827008855,2.8411186508087973
48,0.0,3.0,118.0,191.22222222222223,7.0,7.0,37.0,23.0,14.0,4.0,4.0,1.0,1.0,0.0,383.0,0.1186440677966101,1.0,4,3.882761496939972,0.2386580655815194
49,0.0,3.0,13.0,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6390066120550792,-0.6255136199073207
50,0.0,3.0,13.0,20.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6340227051424967,-0.6208528249629771
51,0.0,3.0,41.0,112.725,2.0,2.0,9.0,7.0,1.0,1.0,3.0,1.0,0.0,0.0,359.0,0.024390243902439,0.0,2,-0.9971626837290926,-0.11200169484483047
52,0.0,3.0,52.0,211.49019607843132,4.0,4.0,12.0,7.0,3.0,2.0,1.0,1.0,1.0,0.0,391.0,0.0576923076923076,1.0,0,0.3724034470654671,-0.037986686187843094
53,0.0,3.0,24.0,24.52173913043478,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,383.0,0.0,0.0,3,-2.3597048377799754,-0.32758750615911264
54,2.0,1.0,13.0,20.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.9570151439699357,-2.1381281018985003
55,0.0,3.0,85.0,212.8809523809524,6.0,6.0,24.0,17.0,6.0,3.0,2.0,1.0,1.0,0.0,376.0,0.0705882352941176,1.0,0,2.1171475539268734,-0.270742277852542
56,0.0,3.0,75.0,126.67567567567568,3.0,4.0,20.0,13.0,7.0,2.0,6.0,1.0,0.0,0.0,394.0,0.0933333333333333,0.0,2,1.0317664638838346,0.5010235122903659
57,1.0,2.0,70.0,113.46376811594205,3.0,3.0,20.0,17.0,3.0,5.0,1.0,1.0,1.0,0.0,380.0,0.0428571428571428,0.0,8,0.4208666221774516,-1.9742456444934429
58,0.0,3.0,49.0,170.3125,3.0,3.0,12.0,4.0,6.0,1.0,3.0,1.0,0.0,0.0,357.0,0.1224489795918367,1.0,2,0.03929661253356804,1.4174098472131784
60,0.0,3.0,158.0,211.15923566878985,10.0,10.0,45.0,41.0,3.0,20.0,4.0,1.0,1.0,0.0,377.0,0.0189873417721519,0.0,9,5.995845406820429,-3.867498514982334
61,0.0,3.0,45.0,109.27272727272728,2.0,2.0,11.0,8.0,3.0,0.0,3.0,1.0,0.0,0.0,380.0,0.0666666666666666,0.0,2,-0.7409283500249659,0.4656138007772539
62,0.0,3.0,29.0,27.142857142857142,1.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,359.0,0.0344827586206896,0.0,3,-2.0153931957834206,-0.09317748616399041
63,0.0,3.0,119.0,205.71186440677965,7.0,8.0,33.0,24.0,6.0,5.0,9.0,1.0,0.0,0.0,339.0,0.0504201680672268,0.0,5,3.67791890662895,-0.6385592722920542
64,0.0,3.0,54.0,211.3584905660377,4.0,4.0,13.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,306.0,0.1111111111111111,1.0,0,0.6192474426037057,0.8080500944408987
66,0.0,3.0,59.0,247.93103448275863,5.0,5.0,15.0,6.0,7.0,0.0,2.0,1.0,0.0,0.0,347.0,0.1186440677966101,1.0,2,0.9137237772059092,1.7581221706535086
67,0.0,3.0,98.0,117.38144329896907,4.0,5.0,30.0,25.0,2.0,8.0,2.0,1.0,1.0,0.0,327.0,0.0204081632653061,0.0,9,1.8869454334532707,-2.219777706148252
68,0.0,3.0,76.0,238.86666666666667,6.0,6.0,21.0,10.0,9.0,0.0,4.0,1.0,0.0,0.0,386.0,0.1184210526315789,1.0,4,1.8493331252785952,1.6281172883368222
69,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6363680731013592,-0.6230461402309035
70,0.0,3.0,13.0,17.666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.642817834988231,-0.6290777572177009
71,0.0,3.0,76.0,194.8933333333333,5.0,5.0,22.0,11.0,11.0,1.0,1.0,1.0,1.0,0.0,394.0,0.1447368421052631,1.0,4,1.7238621968723535,1.2049158108755111
72,1.0,2.0,13.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.783645499264475,-1.3683868048868617
76,1.0,2.0,13.0,19.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.7965450230382185,-1.3804500388604566
77,0.0,3.0,78.0,190.88311688311688,5.0,5.0,21.0,14.0,7.0,3.0,3.0,1.0,1.0,0.0,377.0,0.0897435897435897,1.0,0,1.7636727015817493,0.007943767722127603
78,0.0,3.0,34.0,112.1818181818182,2.0,2.0,6.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,346.0,0.088235294117647,1.0,2,-1.1402351178510668,0.9142168389929627
79,2.0,1.0,13.0,13.083333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.9816415075379914,-2.1611579122117273
80,0.0,3.0,50.0,167.69387755102042,3.0,3.0,13.0,3.0,9.0,1.0,1.0,1.0,0.0,0.0,408.0,0.18,1.0,2,0.1467441197649043,2.253720404377519
82,0.0,3.0,53.0,189.40384615384616,4.0,4.0,12.0,8.0,4.0,2.0,0.0,1.0,1.0,0.0,363.0,0.0754716981132075,1.0,0,0.3318995145109282,0.12941726461014916
83,0.0,3.0,69.0,212.0735294117647,5.0,5.0,21.0,6.0,12.0,1.0,0.0,1.0,0.0,0.0,366.0,0.1739130434782608,1.0,4,1.2988312153190884,2.4426545089539125
84,1.0,2.0,13.0,14.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.814135282729687,-1.396899903369904
86,1.0,2.0,188.0,117.16577540106952,7.0,9.0,59.0,54.0,3.0,17.0,5.0,1.0,1.0,0.0,364.0,0.0159574468085106,0.0,9,5.894491168023687,-5.288136226183576
87,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6363680731013592,-0.6230461402309035
88,0.0,3.0,91.0,162.06666666666666,5.0,5.0,27.0,25.0,2.0,5.0,2.0,1.0,1.0,0.0,381.0,0.0219780219780219,0.0,0,1.8447322487343099,-1.7002754871298638
89,0.0,3.0,34.0,120.12121212121212,2.0,2.0,6.0,3.0,3.0,1.0,0.0,1.0,1.0,0.0,365.0,0.088235294117647,1.0,0,-0.9592972799059178,0.2696735974833881
90,0.0,3.0,13.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6363680731013592,-0.6230461402309035
91,0.0,3.0,13.0,20.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6343158761373546,-0.6211269893714679
92,0.0,3.0,47.0,230.0652173913044,4.0,4.0,11.0,3.0,6.0,1.0,0.0,1.0,0.0,0.0,362.0,0.1276595744680851,1.0,2,0.14625529471095128,1.8008792947729342
93,0.0,3.0,71.0,127.14285714285714,3.0,3.0,21.0,16.0,5.0,5.0,1.0,1.0,0.0,0.0,383.0,0.0704225352112676,0.0,2,0.5252721859199061,-0.10655480919317736
94,0.0,3.0,13.0,18.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6401792960345105,-0.6266102775412838
95,0.0,3.0,113.0,186.3571428571429,6.0,6.0,38.0,14.0,23.0,2.0,4.0,1.0,0.0,0.0,393.0,0.2035398230088495,1.0,4,3.601412790060849,2.8538709488381517
96,0.0,3.0,71.0,152.21428571428572,4.0,4.0,17.0,14.0,2.0,6.0,2.0,1.0,1.0,0.0,347.0,0.028169014084507,0.0,0,0.8865617297828382,-1.3230200646442114
97,1.0,2.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.796838194033076,-1.3807242032689473
98,1.0,2.0,67.0,176.34848484848484,4.0,4.0,19.0,10.0,8.0,2.0,2.0,1.0,0.0,0.0,358.0,0.1194029850746268,1.0,8,0.7187118249293196,0.47391546172632343
100,1.0,2.0,13.0,18.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.7997699039816544,-1.3834658473538552
101,0.0,3.0,13.0,20.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.633436363152781,-0.6203044961459956
102,0.0,3.0,69.0,121.05882352941175,3.0,4.0,15.0,12.0,3.0,7.0,1.0,1.0,1.0,0.0,380.0,0.0434782608695652,0.0,0,0.5771943256245665,-1.2039931811957945
103,0.0,3.0,13.0,19.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6354885601167855,-0.6222236470054311
104,0.0,3.0,93.0,166.25,5.0,5.0,25.0,23.0,2.0,10.0,3.0,1.0,1.0,0.0,350.0,0.021505376344086,0.0,9,2.1860627697628674,-2.1662927163336
105,1.0,2.0,81.0,228.4125,6.0,6.0,22.0,13.0,7.0,3.0,4.0,1.0,0.0,0.0,325.0,0.0864197530864197,1.0,8,1.8127090264290304,-0.03830704793895279
106,1.0,2.0,13.0,16.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.8085650338273886,-1.3916907796085791
107,0.0,3.0,54.0,155.11320754716982,3.0,3.0,13.0,9.0,4.0,1.0,3.0,1.0,1.0,0.0,410.0,0.074074074074074,1.0,0,0.252178017984088,-0.03131495472486724
108,0.0,3.0,13.0,20.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6325568501682075,-0.6194820029205232
109,1.0,2.0,24.0,26.17391304347826,1.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,376.0,0.0,0.0,1,-2.5152420388910843,-1.080652459081
110,1.0,2.0,46.0,244.26666666666668,4.0,4.0,9.0,8.0,1.0,1.0,0.0,1.0,1.0,0.0,389.0,0.0217391304347826,1.0,8,-0.13835829118989684,-1.032893277555985
112,1.0,2.0,91.0,294.9555555555556,8.0,8.0,24.0,18.0,6.0,1.0,3.0,1.0,1.0,0.0,330.0,0.0659340659340659,1.0,8,2.7855494490565698,-0.6635704086940749
113,0.0,3.0,61.0,178.41666666666666,4.0,5.0,15.0,5.0,7.0,1.0,3.0,1.0,0.0,0.0,362.0,0.1147540983606557,1.0,2,0.6808813153695569,1.377832265107232
114,1.0,2.0,13.0,21.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.789508919161631,-1.3738700930566776
115,0.0,3.0,13.0,16.833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.645749544936809,-0.6318194013026088
116,0.0,3.0,40.0,201.23076923076923,3.0,3.0,9.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,359.0,0.125,1.0,2,-0.37075036725635163,1.7282096324884224
117,0.0,3.0,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6416451510087997,-0.6279810995837378
119,0.0,3.0,13.0,18.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6387134410602218,-0.6252394554988299
120,0.0,3.0,38.0,121.89189189189187,2.0,2.0,9.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,376.0,0.131578947368421,1.0,2,-0.9418426683706512,1.4965447460270374
121,0.0,3.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6313841661887762,-0.6183853452865601
122,0.0,3.0,76.0,216.70666666666668,5.0,5.0,22.0,8.0,13.0,0.0,4.0,1.0,0.0,0.0,368.0,0.1710526315789473,1.0,4,1.832056311377193,2.4099573745963254
123,0.0,3.0,79.0,148.9102564102564,4.0,4.0,20.0,19.0,0.0,13.0,0.0,1.0,1.0,0.0,407.0,0.0,0.0,9,1.2431160263321233,-2.606214641513198
124,1.0,2.0,106.0,188.24761904761905,6.0,6.0,31.0,24.0,6.0,2.0,11.0,1.0,0.0,0.0,391.0,0.0566037735849056,0.0,5,2.9379459623240636,-1.1030750438420005
126,0.0,3.0,57.0,145.69642857142858,3.0,3.0,14.0,11.0,2.0,3.0,4.0,1.0,0.0,0.0,405.0,0.0350877192982456,0.0,2,0.06286773102433536,-0.2591294478991386
127,0.0,3.0,90.0,201.1573033707865,6.0,6.0,27.0,12.0,14.0,3.0,1.0,1.0,1.0,0.0,328.0,0.1555555555555555,1.0,4,2.585450805442398,1.2717061133693617
128,0.0,3.0,13.0,18.58333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.639592954044795,-0.6260619487243022
129,0.0,3.0,55.0,204.6296296296296,4.0,4.0,14.0,5.0,8.0,0.0,1.0,1.0,1.0,0.0,372.0,0.1454545454545454,1.0,0,0.7317698374450073,1.381950423816962
131,0.0,3.0,60.0,216.4237288135593,4.0,4.0,17.0,6.0,10.0,0.0,1.0,1.0,0.0,0.0,353.0,0.1666666666666666,1.0,2,0.7953390165739014,2.3427964079554493
132,0.0,3.0,13.0,18.416666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6401792960345105,-0.6266102775412838
133,0.0,3.0,70.0,244.71014492753625,6.0,6.0,18.0,8.0,10.0,1.0,1.0,1.0,0.0,0.0,361.0,0.1428571428571428,1.0,4,1.566033080285347,2.037878625643636
134,0.0,3.0,74.0,174.13698630136986,4.0,5.0,19.0,15.0,2.0,5.0,2.0,1.0,1.0,0.0,383.0,0.027027027027027,0.0,0,1.1259233909843118,-1.2147917518799802
135,0.0,3.0,13.0,23.08333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6237617203224732,-0.6112570706657995
136,0.0,3.0,13.0,17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.642524663993373,-0.6288035928092102
137,0.0,3.0,93.0,181.0,5.0,5.0,32.0,9.0,21.0,0.0,2.0,1.0,0.0,0.0,410.0,0.2258064516129032,1.0,4,2.4935256908292374,3.373369207987138
138,0.0,3.0,110.0,143.8256880733945,5.0,5.0,34.0,31.0,2.0,12.0,1.0,1.0,1.0,0.0,391.0,0.0181818181818181,0.0,9,2.64374850264002,-2.7692325441137
139,0.0,3.0,13.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6337295341476388,-0.6205786605544864
140,0.0,3.0,34.0,135.0,2.0,2.0,6.0,4.0,1.0,0.0,3.0,1.0,0.0,0.0,361.0,0.0294117647058823,0.0,2,-1.1952438094656672,0.2407672931792692
141,0.0,3.0,81.0,276.2375,7.0,7.0,22.0,10.0,9.0,0.0,2.0,1.0,0.0,0.0,355.0,0.1111111111111111,1.0,4,2.0836423469476877,1.7319926084621378
142,0.0,3.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6313841661887762,-0.6183853452865601
143,1.0,2.0,71.0,211.78571428571428,5.0,6.0,17.0,10.0,7.0,2.0,2.0,1.0,0.0,0.0,335.0,0.0985915492957746,1.0,8,1.0916355589220434,0.326504274151292
144,1.0,2.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.7994767329867964,-1.3831916829453645
145,0.0,3.0,49.0,162.9375,3.0,3.0,13.0,5.0,7.0,1.0,0.0,1.0,0.0,0.0,366.0,0.1428571428571428,1.0,2,-0.12226756406428332,1.7139211660476414
147,1.0,2.0,38.0,114.13513513513512,2.0,2.0,9.0,2.0,6.0,1.0,0.0,1.0,0.0,0.0,357.0,0.1578947368421052,1.0,8,-1.0007339078345878,0.9866515750915784
148,0.0,3.0,59.0,132.43103448275863,3.0,3.0,15.0,12.0,3.0,5.0,0.0,1.0,1.0,0.0,398.0,0.0508474576271186,0.0,0,0.20123835578575391,-0.8329336624831115
149,0.0,3.0,69.0,225.30882352941177,5.0,5.0,17.0,16.0,1.0,4.0,1.0,1.0,1.0,0.0,425.0,0.0144927536231884,0.0,0,1.1203459927440778,-1.101578267370447
150,0.0,3.0,61.0,130.81666666666666,3.0,3.0,16.0,14.0,1.0,4.0,2.0,1.0,1.0,0.0,380.0,0.0163934426229508,0.0,0,0.23587364656551665,-1.3455383176032463
151,0.0,3.0,13.0,22.83333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.624641233307047,-0.6120795638912718
152,0.0,3.0,69.0,267.05882352941177,6.0,6.0,19.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,380.0,0.1014492753623188,1.0,4,1.4282808116501629,1.4549802756714398
153,0.0,3.0,13.0,18.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.641058809019084,-0.6274327707667562
154,0.0,3.0,27.0,144.30769230769232,2.0,2.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,349.0,0.037037037037037,1.0,2,-1.573376080943173,0.4540556249145774
155,0.0,3.0,81.0,246.5375,6.0,6.0,24.0,8.0,14.0,2.0,1.0,1.0,0.0,0.0,356.0,0.1728395061728395,1.0,4,2.170466072184318,2.4736858608948684
156,2.0,1.0,13.0,20.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,1,-3.9540834340213573,-2.135386457813593
157,0.0,3.0,75.0,109.1891891891892,3.0,4.0,17.0,16.0,0.0,9.0,2.0,1.0,1.0,0.0,388.0,0.0,0.0,0,0.714288025234538,-2.2722939442703214
159,0.0,3.0,103.0,207.26470588235293,7.0,7.0,29.0,21.0,8.0,6.0,3.0,1.0,1.0,0.0,353.0,0.0776699029126213,1.0,9,3.1618156631020193,-0.5982814839310316
160,0.0,3.0,13.0,20.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.6337295341476388,-0.6205786605544864
161,0.0,3.0,13.0,18.916666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,3,-3.638420270065364,-0.624965291090339
162,0.0,3.0,87.0,217.88372093023256,6.0,6.0,24.0,8.0,15.0,0.0,5.0,1.0,0.0,0.0,403.0,0.1724137931034483,1.0,4,2.43649289809201,2.525791274842093
