feature,bin,advance_rate,correlation
answer_errors,"(9.0, 11.0]",0.20063191153238547,-0.07443819498175126
answer_errors,"(11.0, 45.0]",0.11338100102145046,-0.07443819498175126
likes,"(-0.001, 1.0]",0.10048426150121065,0.48883876052910846
likes,"(1.0, 2.0]",0.30391459074733096,0.48883876052910846
likes,"(2.0, 4.0]",0.4594795539033457,0.48883876052910846
likes,"(4.0, 7.0]",0.6339869281045751,0.48883876052910846
likes,"(7.0, 47.0]",0.8078175895765473,0.48883876052910846
dislikes,"(-0.001, 1.0]",0.25815217391304346,-0.018194158741188193
dislikes,"(1.0, 2.0]",0.3694581280788177,-0.018194158741188193
dislikes,"(2.0, 3.0]",0.3393316195372751,-0.018194158741188193
dislikes,"(3.0, 5.0]",0.27586206896551724,-0.018194158741188193
dislikes,"(5.0, 31.0]",0.15721649484536082,-0.018194158741188193
successful_purchase,"(-0.001, 1.0]",0.2794088862791153,0.35927879347706987
model_changes,"(-0.001, 1.0]",0.2794088862791153,1.0
time_to_first_message_sec,"(269.999, 337.0]",0.38143036386449186,-0.00989845348164833
time_to_first_message_sec,"(337.0, 349.0]",0.3559322033898305,-0.00989845348164833
time_to_first_message_sec,"(349.0, 357.0]",0.3918741808650065,-0.00989845348164833
time_to_first_message_sec,"(357.0, 363.0]",0.3680351906158358,-0.00989845348164833
time_to_first_message_sec,"(363.0, 370.0]",0.37404580152671757,-0.00989845348164833
time_to_first_message_sec,"(370.0, 377.0]",0.3784764207980653,-0.00989845348164833
time_to_first_message_sec,"(377.0, 384.0]",0.38866396761133604,-0.00989845348164833
time_to_first_message_sec,"(384.0, 392.0]",0.3787878787878788,-0.00989845348164833
time_to_first_message_sec,"(392.0, 404.0]",0.34935064935064936,-0.00989845348164833
time_to_first_message_sec,"(404.0, 475.0]",0.3582887700534759,-0.00989845348164833
error_rate,"(-0.001, 0.0346]",0.12459230267449445,-0.1179378736794597
error_rate,"(0.0346, 0.118]",0.7864077669902912,-0.1179378736794597
error_rate,"(0.118, 0.25]",0.4348214285714286,-0.1179378736794597
error_rate,"(0.25, 0.364]",0.5217864923747276,-0.1179378736794597
error_rate,"(0.364, 0.444]",0.3290909090909091,-0.1179378736794597
error_rate,"(0.444, 0.5]",0.17597765363128492,-0.1179378736794597
error_rate,"(0.5, 0.579]",0.09378407851690294,-0.1179378736794597
error_rate,"(0.579, 0.833]",0.06042296072507553,-0.1179378736794597
is_churned,"(-0.001, 1.0]",0.2794088862791153,-0.40493995981430997
